product,recommendation,product_support,recommendation_support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'beef'}),frozenset({'other vegetables'}),0.04085491163173038,0.15076037813399096,0.016440608302507192,0.40241448692152915,2.669232406434243,0.010281306376276736,1.4211181551091125,0.6519977716832362
frozenset({'other vegetables'}),frozenset({'beef'}),0.15076037813399096,0.04085491163173038,0.016440608302507192,0.10905125408942203,2.669232406434243,0.010281306376276736,1.0765435079971888,0.7363769238215081
frozenset({'beef'}),frozenset({'rolls/buns'}),0.04085491163173038,0.1405672009864365,0.011508425811755036,0.28169014084507044,2.0039535458364224,0.005765565237134489,1.196465269214961,0.5223260198834418
frozenset({'rolls/buns'}),frozenset({'beef'}),0.1405672009864365,0.04085491163173038,0.011508425811755036,0.08187134502923978,2.003953545836422,0.005765565237134489,1.0446739497514275,0.5829268292682926
frozenset({'root vegetables'}),frozenset({'beef'}),0.08606658446362515,0.04085491163173038,0.014385532264693794,0.16714422158548234,4.091165906614472,0.01086928956198753,1.1516340682586907,0.8267242309767944
frozenset({'beef'}),frozenset({'root vegetables'}),0.04085491163173038,0.08606658446362515,0.014385532264693794,0.352112676056338,4.091165906614472,0.01086928956198753,1.4106363587626656,0.7877545423380186
frozenset({'beef'}),frozenset({'whole milk'}),0.04085491163173038,0.1958898479243732,0.017591450883682698,0.4305835010060362,2.1980899243551955,0.009588388457179329,1.4121651787335212,0.5682764426388653
frozenset({'whole milk'}),frozenset({'beef'}),0.1958898479243732,0.04085491163173038,0.017591450883682698,0.08980276961812843,2.1980899243551955,0.009588388457179329,1.0537771994382603,0.6778419068401431
frozenset({'whole milk'}),frozenset({'berries'}),0.1958898479243732,0.0260583641594739,0.01019317714755446,0.052035249685270665,1.9968732253038413,0.00508860815519718,1.0274027969048134,0.6208317119660206
frozenset({'berries'}),frozenset({'whole milk'}),0.0260583641594739,0.1958898479243732,0.01019317714755446,0.3911671924290221,1.9968732253038413,0.00508860815519718,1.3207405088496047,0.5125739201934177
frozenset({'bottled beer'}),frozenset({'bottled water'}),0.056555692560624746,0.08425811755034936,0.013316892725030826,0.23546511627906974,2.7945689166193985,0.008551616533116287,1.1977764546109497,0.6806581493636763
frozenset({'bottled water'}),frozenset({'bottled beer'}),0.08425811755034936,0.056555692560624746,0.013316892725030826,0.15804878048780488,2.7945689166193985,0.008551616533116287,1.1205450928451444,0.7012489748875147
frozenset({'bottled beer'}),frozenset({'other vegetables'}),0.056555692560624746,0.15076037813399096,0.014303329223181258,0.25290697674418605,1.677542732875149,0.005776971627111733,1.1367254082564477,0.42810158047228897
frozenset({'other vegetables'}),frozenset({'bottled beer'}),0.15076037813399096,0.056555692560624746,0.014303329223181258,0.09487459105779716,1.6775427328751489,0.005776971627111733,1.0423354577372375,0.4755901499448708
frozenset({'bottled beer'}),frozenset({'rolls/buns'}),0.056555692560624746,0.1405672009864365,0.012001644060830251,0.21220930232558138,1.5096644226846185,0.004051768657733802,1.0909405271611285,0.35783896560243783
frozenset({'rolls/buns'}),frozenset({'bottled beer'}),0.1405672009864365,0.056555692560624746,0.012001644060830251,0.08538011695906433,1.5096644226846185,0.004051768657733802,1.0315151954739972,0.392818537371514
frozenset({'bottled beer'}),frozenset({'soda'}),0.056555692560624746,0.13218249075215782,0.014960953555281545,0.2645348837209302,2.0012853609857686,0.007485281246404884,1.179957403878489,0.5303133740007487
frozenset({'soda'}),frozenset({'bottled beer'}),0.13218249075215782,0.056555692560624746,0.014960953555281545,0.11318407960199006,2.001285360985769,0.007485281246404884,1.0638558529891413,0.5765280471162825
frozenset({'bottled beer'}),frozenset({'whole milk'}),0.056555692560624746,0.1958898479243732,0.01775585696670777,0.313953488372093,1.6027042324995853,0.006677170951749384,1.1720927640424392,0.39859751709538244
frozenset({'whole milk'}),frozenset({'bottled beer'}),0.1958898479243732,0.056555692560624746,0.01775585696670777,0.0906420478388586,1.6027042324995855,0.006677170951749384,1.0374839799852473,0.4676654777861075
frozenset({'citrus fruit'}),frozenset({'bottled water'}),0.06543362104397862,0.08425811755034936,0.011508425811755036,0.17587939698492464,2.0873881603137643,0.005995112078086472,1.1111746012651247,0.5574054760438789
frozenset({'bottled water'}),frozenset({'citrus fruit'}),0.08425811755034936,0.06543362104397862,0.011508425811755036,0.13658536585365855,2.0873881603137643,0.005995112078086472,1.082407388056409,0.5688638112336498
frozenset({'fruit/vegetable juice'}),frozenset({'bottled water'}),0.056309083436087135,0.08425811755034936,0.011755034936292643,0.20875912408759126,2.4776143849029735,0.007010537564982384,1.1573490580775105,0.6319716868497356
frozenset({'bottled water'}),frozenset({'fruit/vegetable juice'}),0.08425811755034936,0.056309083436087135,0.011755034936292643,0.13951219512195123,2.4776143849029735,0.007010537564982384,1.096692958591849,0.651259871188058
frozenset({'other vegetables'}),frozenset({'bottled water'}),0.15076037813399096,0.08425811755034936,0.021043978627209206,0.1395856052344602,1.656642817246057,0.008341192964460278,1.06430330317659,0.4667346759752203
frozenset({'bottled water'}),frozenset({'other vegetables'}),0.08425811755034936,0.15076037813399096,0.021043978627209206,0.2497560975609756,1.6566428172460568,0.008341192964460278,1.1319513815509223,0.43283985076301623
frozenset({'bottled water'}),frozenset({'rolls/buns'}),0.08425811755034936,0.1405672009864365,0.020715166461159062,0.2458536585365854,1.7490115532734278,0.008871238716720313,1.1396101151214781,0.4676519620415492
